Team Code	Game Code	Rush Att	Rush Yard	Rush TD	Pass Att	Pass Comp	Pass Yard	Pass TD	Pass Int
66	695006620130907	49	220	3	32	20	252	5	0
66	721006620130913	41	229	5	31	29	304	1	1
66	66009620130920	53	200	4	47	33	361	1	1
66	664006620130928	52	229	5	27	23	316	3	0
66	66073120131012	40	112	2	45	30	335	2	3
66	466006620131019	46	407	5	21	18	150	0	1
66	66007720131025	44	214	1	46	29	285	1	1
66	66015620131102	31	132	1	27	19	305	5	0
66	811006620131116	53	241	3	39	29	283	3	1
66	66062620131123	34	95	1	36	21	202	2	2
66	473006620131130	40	172	2	25	17	260	4	0
66	66052820131224	38	156	1	44	32	382	1	0
67	739006720130831	40	128	1	30	23	285	2	0
67	749006720130906	46	191	1	14	7	123	2	1
67	67065720130914	26	101	1	24	11	83	0	0
67	234006720130928	45	200	0	28	18	197	4	2
67	725006720131005	41	320	5	13	11	203	1	0
67	67014720131012	39	94	1	21	13	192	1	1
67	67045720131026	38	202	1	22	11	59	0	0
67	742006720131102	42	196	2	14	11	93	1	0
67	67047220131109	35	320	2	25	17	230	3	0
67	490006720131116	53	420	4	15	8	53	0	0
67	67039220131123	40	254	2	15	6	120	1	1
67	67068820131130	33	191	2	19	11	168	2	1
67	29006720131231	45	145	2	28	17	206	0	2
71	719007120130829	53	233	3	28	12	163	0	1
71	71033120130907	46	219	3	25	19	357	2	0
71	71030620130914	36	136	0	51	28	273	0	1
71	454007120130921	42	282	4	32	28	378	3	1
71	5007120130928	44	167	2	24	18	229	2	0
71	400007120131005	43	232	1	22	13	216	3	0
71	71043020131012	29	160	2	34	20	224	0	0
71	709007120131026	36	135	3	26	17	208	0	0
71	71041420131105	41	189	2	30	21	258	3	1
71	519007120131112	41	207	4	20	13	253	3	1
71	71020420131123	46	296	3	26	13	264	3	1
71	71008620131129	48	260	2	26	11	230	1	1
71	71050320131206	40	181	1	27	21	393	5	0
71	545007120131226	34	10	0	33	21	279	2	0
77	77074620130831	53	187	1	40	13	175	1	1
77	703007720130907	72	550	4	27	9	129	0	1
77	732007720130921	47	183	1	48	18	260	0	1
77	419007720130927	55	309	4	19	14	177	0	1
77	77073120131004	50	160	0	32	17	278	3	1
77	255007720131012	42	189	3	27	19	244	1	0
77	77028820131019	71	264	2	44	29	417	4	3
77	66007720131025	50	229	1	41	27	339	3	0
77	77079620131109	39	163	0	42	19	207	2	1
77	294007720131116	46	421	5	23	12	157	2	3
77	77051320131123	47	247	0	36	21	168	1	1
77	77046620131130	45	394	2	18	14	98	2	0
77	77075620131227	47	180	1	50	25	293	0	1
86	86051820130831	35	73	0	32	19	185	2	1
86	86005120130907	49	83	1	26	15	280	1	1
86	683008620130914	36	133	2	48	28	216	1	1
86	164008620130928	43	153	1	21	10	177	3	1
86	204008620131005	45	228	4	24	15	224	1	0
86	86077420131012	56	290	1	23	12	132	3	0
86	400008620131019	48	215	1	27	18	167	1	0
86	86033120131026	39	206	4	31	20	285	2	0
86	519008620131105	42	252	2	23	13	169	2	1
86	86070920131112	30	104	2	59	36	497	4	0
86	86041420131119	53	311	2	37	23	206	2	1
86	71008620131129	24	15	1	45	21	221	0	1
86	86062620131221	38	113	0	31	13	196	3	1
96	587009620130829	23	81	2	73	52	456	5	1
96	90009620130907	40	162	0	34	23	208	3	0
96	66009620130920	24	62	1	60	39	460	4	0
96	96027720130928	45	206	3	47	33	324	2	2
96	96029520131005	50	309	3	51	38	422	5	2
96	465009620131019	39	206	1	51	35	435	4	1
96	96062620131026	19	43	2	57	35	298	2	0
96	466009620131102	33	160	2	55	39	487	3	0
96	96081120131109	42	234	3	47	34	366	4	0
96	473009620131123	42	284	3	41	29	538	7	0
96	96063020131129	16	127	1	51	38	519	6	1
96	731009620131207	34	56	0	53	36	404	3	2
96	96065720131221	6	37	0	55	30	217	2	1
107	509010720130831	35	93	0	64	39	455	3	3
107	550010720130907	44	131	2	51	33	485	2	0
107	518010720130914	37	132	1	53	31	371	3	1
107	107052920130928	51	149	1	45	21	176	1	1
107	754010720131005	29	79	0	62	34	506	2	2
107	107011020131012	37	105	1	43	26	215	0	1
107	528010720131019	30	75	0	47	32	291	2	2
107	107075620131026	29	131	1	59	34	352	1	0
107	29010720131102	26	130	0	56	34	289	4	2
107	657010720131109	43	190	1	53	37	293	3	0
107	107015720131116	34	197	3	52	26	214	0	1
107	107067420131123	31	73	0	35	19	310	1	1
110	466011020130831	47	345	5	35	24	302	2	0
110	110046320130914	53	210	2	25	16	294	3	1
110	472011020130921	45	298	5	49	35	394	3	2
110	110073220131003	53	186	2	28	18	218	2	1
110	107011020131012	34	78	1	41	31	410	3	0
110	110067420131019	27	74	0	39	24	192	1	2
110	110052920131026	52	219	1	19	13	64	1	2
110	157011020131102	33	139	4	24	19	273	2	0
110	110002920131109	49	249	2	26	18	227	2	0
110	756011020131115	53	222	4	23	14	184	2	0
110	28011020131123	41	151	2	26	18	253	2	1
110	110065720131130	43	188	5	27	18	208	0	0
110	742011020131231	36	197	3	30	17	250	2	0
128	5012820130829	39	157	2	27	19	319	3	0
128	128023120130906	38	165	4	21	14	225	1	0
128	128053920130914	38	219	1	27	20	288	3	1
128	648012820130928	25	69	1	37	25	358	2	3
128	128040420131005	30	110	2	36	17	160	0	0
128	128036720131018	32	196	3	33	21	250	2	1
128	164012820131026	38	176	3	35	26	351	5	1
128	288012820131109	45	188	2	24	17	210	0	1
128	128069020131116	36	253	0	40	27	404	4	0
128	587012820131121	44	118	4	31	22	334	1	0
128	651012820131129	30	77	0	27	17	219	2	2
128	128066320131207	32	96	2	35	24	242	0	0
128	128005120140101	44	255	4	31	20	301	3	2
129	129041820130831	29	66	0	28	13	144	0	1
129	469012920130907	28	104	0	37	21	333	3	1
129	129046520130914	32	113	2	46	23	265	1	2
129	709012920130921	41	156	1	24	14	214	1	2
129	129049020130928	26	94	1	37	16	165	1	3
129	129041420131005	41	184	3	21	11	110	0	1
129	129051920131012	44	208	0	29	20	224	3	1
129	503012920131019	30	75	0	32	16	271	2	1
129	129004720131106	27	113	2	32	20	284	1	1
129	129077420131116	37	118	2	25	16	167	1	3
129	400012920131123	36	67	1	21	13	231	2	0
129	204012920131129	39	295	4	14	9	92	0	1
140	559014020130831	47	221	4	25	17	204	1	2
140	140030120130907	32	148	1	42	23	308	1	1
140	508014020130914	46	322	4	21	19	347	5	0
140	140041420130921	52	198	2	37	23	171	0	2
140	140065120131005	33	110	0	36	24	240	3	2
140	690014020131011	42	205	3	37	31	270	2	0
140	164014020131019	36	137	1	30	21	388	5	1
140	140040420131030	41	108	4	37	29	329	1	1
140	663014020131109	45	163	2	32	27	299	2	2
140	140058720131116	28	112	1	43	28	507	6	1
140	140028820131123	40	172	1	51	30	401	2	2
140	367014020131205	39	124	3	41	22	304	0	2
140	140045720131228	36	168	2	36	16	181	0	1
147	257014720130831	46	197	2	30	18	270	3	0
147	647014720130907	44	183	2	51	36	329	3	0
147	147049020130919	40	171	0	37	24	244	3	0
147	749014720130928	47	166	4	36	28	407	4	0
147	147068820131005	45	158	2	32	23	466	5	2
147	67014720131012	37	162	1	45	30	334	1	0
147	234014720131019	41	123	1	45	22	203	1	2
147	147039220131026	57	247	3	41	28	304	1	1
147	147074620131102	43	175	5	45	34	435	3	1
147	255014720131114	37	168	3	30	23	383	4	1
147	141014720131123	43	208	0	32	24	350	6	0
147	147064820131130	29	127	2	28	19	225	0	3
147	147051820140103	36	198	1	40	31	378	5	2
156	157015620130901	28	94	2	39	22	201	0	0
156	156071920130907	35	178	1	29	12	108	2	2
156	90015620130914	46	236	2	30	21	297	2	0
156	156000820130921	26	51	0	38	24	228	0	0
156	704015620130928	34	250	4	29	18	341	4	0
156	630015620131012	27	137	0	34	19	310	3	2
156	156081120131019	54	290	4	23	18	219	3	1
156	156027720131026	49	231	3	26	15	177	1	1
156	66015620131102	56	229	3	53	36	397	1	1
156	466015620131109	37	331	4	27	20	239	0	1
156	156047320131116	49	347	6	28	20	302	3	0
156	156073120131123	34	38	0	39	16	147	0	2
156	721015620131130	49	234	5	34	26	395	3	0
156	754015620131221	46	226	3	51	31	369	2	1
157	157015620130901	37	109	0	46	33	400	3	0
157	1004015720130907	34	84	0	36	23	341	3	2
157	157052820130928	35	154	0	34	14	146	2	2
157	529015720131005	36	94	0	34	12	280	1	2
157	157002820131012	35	99	1	30	18	169	1	3
157	48015720131019	31	218	5	21	15	198	1	0
157	29015720131026	42	137	1	33	17	212	1	1
157	157011020131102	40	134	1	36	25	247	1	0
157	157075620131109	37	128	0	25	14	171	1	2
157	107015720131116	38	121	1	36	23	364	3	1
157	657015720131123	31	124	1	33	17	188	2	1
157	157073220131130	25	48	0	47	24	273	2	1
164	711016420130829	27	81	0	28	16	206	2	1
164	392016420130914	34	25	1	45	29	349	1	2
164	418016420130921	25	47	0	32	16	159	2	1
164	164008620130928	39	27	1	29	12	193	0	3
164	651016420131012	37	207	1	43	15	149	0	0
164	164014020131019	32	56	1	42	24	321	0	3
164	164012820131026	30	91	1	32	14	142	1	2
164	367016420131108	33	58	0	38	20	179	1	3
164	164066320131116	34	158	1	43	25	227	2	2
164	164069020131123	41	124	2	19	8	111	1	1
164	587016420131130	29	61	2	33	25	311	2	0
164	404016420131207	26	75	2	55	37	463	4	0
193	489019320130831	49	257	3	28	21	231	2	1
193	193040420130907	45	173	2	37	25	297	2	1
193	255019320130914	34	132	2	28	15	122	0	0
193	545019320130921	36	213	3	33	22	319	4	4
193	716019320130928	39	190	2	28	20	324	3	1
193	726019320131012	37	134	2	39	32	301	3	0
193	193074620131019	44	180	1	40	22	292	3	1
193	193074220131026	28	91	1	26	7	107	0	4
193	490019320131109	31	123	2	34	20	198	0	3
193	415019320131116	52	358	5	24	16	185	1	0
193	193074920131123	35	121	1	32	25	257	3	0
193	193045720131130	46	187	0	36	23	274	2	0
