Player Code	Game Code	Rush Att	Rush Yard	Rush TD	Pass Att	Pass Comp	Pass Yard	Pass TD	Pass Int	Rec	Rec Yards	Rec TD	Field Goal Att	Field Goal Made	Points	Fumble	Tackle Solo	Sack	Fumble Forced	Int Ret	Punt	Punt Yard
1031581	5050320131012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1031581	5041420131019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1031581	47000520131026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1031581	331000520131102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1031581	5040020131116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1031581	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1030827	5012820130829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2.0	1	0	0	0
1030827	317000520130907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1030827	671000520130921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1030827	5007120130928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	1	0	0	0
1030827	519000520131005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1030827	5050320131012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1030827	5041420131019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2.0	0	0	0	0
1030827	47000520131026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.5	0	0	0	0
1030827	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038369	5012820130829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038369	317000520130907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1038369	5041820130914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1038369	519000520131005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0	0	0	0
1038369	331000520131102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1038369	5040020131116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1038369	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1030822	5012820130829	11	10	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0.0	0	0	0	0
1030822	317000520130907	11	87	0	0	0	0	0	0	2	35	0	0	0	0	0	0	0.0	0	0	0	0
1030822	5041820130914	15	58	0	0	0	0	0	0	3	16	0	0	0	0	0	0	0.0	0	0	0	0
1030822	671000520130921	11	44	1	0	0	0	0	0	8	57	0	0	0	6	0	0	0.0	0	0	0	0
1030822	5007120130928	9	28	0	0	0	0	0	0	1	-4	0	0	0	0	0	0	0.0	0	0	0	0
1030822	519000520131005	15	60	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0.0	0	0	0	0
1030822	5050320131012	20	70	2	0	0	0	0	0	2	4	0	0	0	12	0	0	0.0	0	0	0	0
1030822	5041420131019	16	86	3	0	0	0	0	0	1	18	0	0	0	18	0	0	0.0	0	0	0	0
1030822	47000520131026	26	166	1	0	0	0	0	0	3	34	0	0	0	6	0	0	0.0	0	0	0	0
1030822	331000520131102	27	151	0	0	0	0	0	0	2	-2	0	0	0	0	1	0	0.0	0	0	0	0
1030822	5040020131116	10	72	0	0	0	0	0	0	3	37	1	0	0	6	2	0	0.0	0	0	0	0
1030822	709000520131129	18	37	1	1	0	0	0	0	0	0	0	0	0	6	0	0	0.0	0	0	0	0
1038354	5012820130829	1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038354	317000520130907	0	0	0	0	0	0	0	0	5	23	2	0	0	12	0	0	0.0	0	0	0	0
1038354	5041820130914	0	0	0	0	0	0	0	0	6	97	1	0	0	6	0	0	0.0	0	0	0	0
1038354	671000520130921	0	0	0	0	0	0	0	0	4	111	1	0	0	6	0	0	0.0	0	0	0	0
1038354	5007120130928	0	0	0	0	0	0	0	0	3	25	0	0	0	0	0	0	0.0	0	0	0	0
1038354	519000520131005	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0.0	0	0	0	0
1038354	5050320131012	0	0	0	0	0	0	0	0	4	36	0	0	0	0	0	0	0.0	0	0	0	0
1038354	5041420131019	0	0	0	0	0	0	0	0	7	88	0	0	0	0	0	0	0.0	0	0	0	0
1038354	47000520131026	0	0	0	0	0	0	0	0	2	38	0	0	0	0	0	0	0.0	0	0	0	0
1038354	331000520131102	0	0	0	1	1	33	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038354	5040020131116	0	0	0	0	0	0	0	0	6	82	0	0	0	0	0	0	0.0	0	0	0	0
1038354	709000520131129	0	0	0	0	0	0	0	0	4	57	0	0	0	0	0	0	0.0	0	0	0	0
1046121	5012820130829	0	0	0	0	0	0	0	0	2	13	1	0	0	6	1	0	0.0	0	0	0	0
1046121	317000520130907	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0.0	0	0	0	0
1046121	5041820130914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1046121	671000520130921	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0.0	0	0	0	0
1046121	5007120130928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1046121	519000520131005	0	0	0	0	0	0	0	0	2	21	0	0	0	0	1	0	0.0	0	0	0	0
1046121	5041420131019	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0.0	0	0	0	0
1046121	47000520131026	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0.0	0	0	0	0
1046121	331000520131102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1046121	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1041171	5041820130914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
